,csv_list,downloaded
343,Cobalopsis nero.csv,True
344,Nesiostrymon calchinia.csv,True
345,Myrinia santa.csv,True
346,Viola minor.csv,True
347,Liatongus rhadamistus.csv,True
348,Rhinostomus barbirostris.csv,True
349,Ocaria sadiei.csv,True
350,Gelechia desiliens.csv,True
351,Ceromitia wahlbergi.csv,True
352,Cepora aspasia.csv,True
353,Eilema pygmaeola.csv,True
354,Ampedus sanguinolentus.csv,True
355,Enischnelater specularis.csv,True
356,Chauliognathus longipennis.csv,True
357,Calephelis muticum.csv,True
358,Agrotis poliotis.csv,True
359,Zodion fulvifrons.csv,True
360,Adoneta gemina.csv,True
361,Deois flexuosa.csv,True
362,Alucita huebneri.csv,True
363,Mesosemia metura.csv,True
364,Eutrichapion ervi.csv,True
365,Antiblemma mundicola.csv,True
366,Argynnis anadyomene.csv,True
367,Hylaeus relegatus.csv,True
368,Ipidecla miadora.csv,True
369,Chloronia mirifica.csv,True
370,Allonemobius allardi.csv,True
371,Somatochlora taiwana.csv,True
372,Polyrhachis cephalotes.csv,True
373,Nisitrus danum.csv,True
374,Dicranotropis divergens.csv,True
375,Diathetes signaticollis.csv,True
376,Carmenta tildeni.csv,True
377,Psapharus infaustus.csv,True
378,Ventocoris obesus.csv,True
379,Physetopoda punctata.csv,True
380,Exema deserti.csv,True
381,Lithurgopsis echinocacti.csv,True
382,Acleris fuscana.csv,True
383,Aedes koreicus.csv,True
384,Oreixenica correae.csv,True
385,Dolichopoda naxia.csv,True
386,Ithomia lichyi.csv,True
387,Hypasclera dorsalis.csv,True
388,Dismorphia medora.csv,True
389,Laccophilus peregrinus.csv,True
390,Lacon nobilis.csv,True
391,Pachyrrhiza pictipennis.csv,True
392,Compsibidion vanum.csv,True
393,Idaea inversata.csv,True
394,Cauchas dietziella.csv,True
395,Enispa elataria.csv,True
396,Epinotia abbreviana.csv,True
397,Neochetina eichhorniae.csv,True
398,Arhopala ijauensis.csv,True
399,Protorthemis woodfordi.csv,True
400,Potamanaxas melicertes.csv,True
401,Lophocnema eusphyra.csv,True
402,Eilema ratonis.csv,True
403,Velia saulii.csv,True
404,Coelophora biplagiata.csv,True
405,Ceriana australis.csv,True
406,Torymus bedeguaris.csv,True
407,Paraclytus excultus.csv,True
408,Leptura ochraceofasciata.csv,True
409,Microctenochira punicea.csv,True
410,Pseudoswammerdamia combinella.csv,True
411,Autochloris jansonis.csv,True
412,Spilarctia bisecta.csv,True
413,Crematogaster cerasi.csv,True
414,Brabira atkinsonii.csv,True
415,Ranatra nigra.csv,True
416,Herdonia thielei.csv,True
417,Lasioglossum mediopolitum.csv,True
418,Dinocoris maculatus.csv,True
419,Thecesternus maculosus.csv,True
420,Agrianome loriae.csv,True
421,Brachydeutera sturtevanti.csv,True
422,Cacographis osteolalis.csv,True
423,Cymatodera inornata.csv,True
424,Staleochlora arcuata.csv,True
425,Pseudomallada ventralis.csv,True
426,Rhynchalastor xanthomelas.csv,True
427,Sartallus signatus.csv,True
428,Euphaea cardinalis.csv,True
429,Oecetis cinerascens.csv,True
430,Syrmoptera melanomitra.csv,True
431,Arocatus rusticus.csv,True
432,Dyomyx psectrocera.csv,True
433,Pyrrhidivalva sordida.csv,True
434,Xestia fuscostigma.csv,True
435,Bagisara oula.csv,True
436,Agonum nigriceps.csv,True
437,Megachile texensis.csv,True
438,Zerynthia cretica.csv,True
439,Phimenes curvatus.csv,True
440,Drepanogynis intricata.csv,True
441,Nychioptera accola.csv,True
442,Pepsis assimilis.csv,True
443,Epuraea aestiva.csv,True
444,Egidemia inflata.csv,True
445,Tolmerus atricapillus.csv,True
446,Dichomeris barnesiella.csv,True
447,Exoprosopa fumosa.csv,True
448,Erotylus olivieri.csv,True
449,Antiblemma phoenicopyra.csv,True
450,Tramea stenoloba.csv,True
451,Talaurinus semispinosus.csv,True
452,Parapalaeosepsis plebeia.csv,True
453,Anisoscelis discolor.csv,True
454,Biston strataria.csv,True
455,Polydrusus corruscus.csv,True
456,Cethosia penthesilea.csv,True
457,Gonioctena gobanzi.csv,True
458,Ceratapion onopordi.csv,True
459,Emesis ocypore.csv,True
460,Eutagenia minutissima.csv,True
461,Dasymutilla melancholica.csv,True
462,Leucochrysa explorata.csv,True
463,Chrysolarentia cryeropa.csv,True
464,Thanasimus femoralis.csv,True
465,Sphaeropsocus bicolor.csv,True
466,Maneca bhotea.csv,True
467,Idionotus tehachapi.csv,True
468,Acleris celiana.csv,True
469,Platyphora congregata.csv,True
470,Castiarina jubata.csv,True
471,Schreiteriana pectinicornis.csv,True
472,Ponometia clausula.csv,True
473,Asiola blasio.csv,True
474,Moerarchis pyrochroa.csv,True
475,Olethreutes coruscana.csv,True
476,Xylocopa caribea.csv,True
477,Eloeophila maculata.csv,True
478,Cacopsylla magnicauda.csv,True
479,Hydaticus continentalis.csv,True
480,Enaphalodes hispicornis.csv,True
481,Chilocorus maculatus.csv,True
482,Ariconias albinus.csv,True
483,Leptomyrmex nigriceps.csv,True
484,Dionconotus confluens.csv,True
485,Epeolus olympiellus.csv,True
486,Caripeta pulcherrima.csv,True
487,Harpobittacus australis.csv,True
488,Marumba maackii.csv,True
489,Trichomyrmex destructor.csv,True
490,Platyphasia wilsoni.csv,True
491,Schoenomyza litorella.csv,True
492,Brevianta hyas.csv,True
493,Rhytiphora affinis.csv,True
494,Agrypnus binodulus.csv,True
495,Cozola subrana.csv,True
496,Carpatolechia belangerella.csv,True
497,Pyrausta orphisalis.csv,True
498,Messatoporus rufiventris.csv,True
499,Disonycha plagifera.csv,True
500,Laccophilus horni.csv,True
501,Baeotis kadenii.csv,True
502,Aeneolamia contigua.csv,True
503,Largus morio.csv,True
504,Pseudopalpares sparsus.csv,True
505,Forficula lesnei.csv,True
506,Atalopedes campestris.csv,True
507,Meton tropicus.csv,True
508,Rhagium caucasicum.csv,True
509,Diploptera parva.csv,True
510,Glenea diana.csv,True
511,Acanthosoma forfex.csv,True
512,Trichocurgus nitidiventris.csv,True
513,Zulpha perlaria.csv,True
514,Procalus viridis.csv,True
515,Platysoma angustatum.csv,True
516,Xanthorhoe strumosata.csv,True
517,Idiostatus magnificus.csv,True
518,Symplecta cana.csv,True
519,Lecontia discicollis.csv,True
520,Meterana vitiosa.csv,True
521,Paraepermenia santaliella.csv,True
522,Stropis nigrovitellina.csv,True
523,Barisania lampra.csv,True
524,Pseudocoremia leucelaea.csv,True
525,Epeolus inornatus.csv,True
526,Cerotoma arcuata.csv,True
527,Platystoma lugubre.csv,True
528,Aiteta pratti.csv,True
529,Leptophobia aripa.csv,True
530,Lophocampa catenulata.csv,True
531,Mesosa latifasciata.csv,True
532,Membracis obliquifasciata.csv,True
533,Protorthodes curtica.csv,True
534,Adelphocoris seticornis.csv,True
535,Labdia ceraunia.csv,True
536,Battus polydamas.csv,True
537,Acmaeodera degener.csv,True
538,Disphragis discrepans.csv,True
539,Hemibela oxyptera.csv,True
540,Chelostoma rapunculi.csv,True
541,Eupolemus insularis.csv,True
542,Phaulotettix compressus.csv,True
543,Clastoptera elongata.csv,True
544,Iphthiminus serratus.csv,True
545,Azygophleps leopardina.csv,True
546,Zeridoneus costalis.csv,True
547,Nola bistriga.csv,True
548,Nicrophorus przewalskii.csv,True
549,Desmocerus palliatus.csv,True
550,Tamasa burgessi.csv,True
551,Protaetia pryeri.csv,True
552,Nacoleia inouei.csv,True
553,Lepismina persica.csv,True
554,Hyarotis microstictum.csv,True
555,Zeheba lucidata.csv,True
556,Petrophila canadensis.csv,True
557,Perigonia caryae.csv,True
558,Ornebius fuscicerci.csv,True
559,Chrysobothris rotundicollis.csv,True
560,Onthophagus variolosus.csv,True
561,Centris nigerrima.csv,True
562,Disonycha quinquelineata.csv,True
563,Quedius semiobscurus.csv,True
564,Baroa vatala.csv,True
565,Deuterophysa asychanalis.csv,True
566,Triatoma venosa.csv,True
567,Megaplectes monticola.csv,True
568,Macrophya annulata.csv,True
569,Hermeuptychia fallax.csv,True
570,Loxocera aristata.csv,True
571,Xenochalepus maculicollis.csv,True
572,Gymnastes perexquisitus.csv,True
573,Iscadia diopis.csv,True
574,Aphaena discolor.csv,True
575,Lanephus njumanii.csv,True
576,Eulepidotis fortissima.csv,True
577,Paectes subapicalis.csv,True
578,Myrmetes paykulli.csv,True
579,Phylloteras nigrum.csv,True
580,Calymera confinis.csv,True
581,Bombus sonani.csv,True
582,Nadagara comprensata.csv,True
583,Necrodes nigricornis.csv,True
584,Fabiola tecta.csv,True
585,Temognatha bonvouloirii.csv,True
586,Euodynerus posticus.csv,True
587,Actinoptera filaginis.csv,True
588,Menophra torridaria.csv,True
589,Holocola parthenia.csv,True
590,Lepiselaga albitarsis.csv,True
591,Trichopria drosophilae.csv,True
592,Stigmella apicialbella.csv,True
593,Operophtera fagata.csv,True
594,Anacridium aegyptium.csv,True
595,Dindymus vinulusoides.csv,True
596,Odontocera clara.csv,True
597,Anamesia lindsayi.csv,True
598,Prionofrontia erygidia.csv,True
599,Hedotettix pulchellus.csv,True
600,Sclerum ferrugineum.csv,True
601,Rhodophaea formosa.csv,True
602,Secatophus australis.csv,True
603,Triarthria setipennis.csv,True
604,Pachymorpha simplicipes.csv,True
605,Stephanitis laudata.csv,True
606,Camponotus empedocles.csv,True
607,Cratichneumon sublatus.csv,True
608,Tetraopidion mucoriferum.csv,True
609,Tinosis decemmaculata.csv,True
610,Galeruca sardoa.csv,True
611,Prisopus horstokkii.csv,True
612,Curetis thetis.csv,True
613,Alpenus investigatorum.csv,True
614,Setocoris droserae.csv,True
615,Dicordylus binotatus.csv,True
616,Sonronius dahlbomi.csv,True
617,Papilio hesperus.csv,True
618,Hoplistodera longispina.csv,True
619,Gyriosomus elongatus.csv,True
620,Anogcodes rufiventris.csv,True
621,Neruda metharme.csv,True
622,Telocharacta hemicroca.csv,True
623,Phymatapoderus flavimanus.csv,True
624,Mepraia parapatrica.csv,True
625,Asiadodis yunnanensis.csv,True
626,Pediasia trisecta.csv,True
627,Haplorhynchites pubescens.csv,True
628,Antiophlebia bracteata.csv,True
629,Golofa pusilla.csv,True
630,Harpalus sulphuripes.csv,True
631,Cycloneda eryngii.csv,True
632,Liriomyza flavolateralis.csv,True
633,Apiomerus saileri.csv,True
634,Epiperola vaferella.csv,True
635,Ophryastes ovalis.csv,True
636,Polistes canadensis.csv,True
637,Stomacoccus platani.csv,True
638,Crematogaster capensis.csv,True
639,Euselasia euromus.csv,True
640,Stagmatophora heydeniella.csv,True
641,Tholera hilaris.csv,True
642,Maliattha blandula.csv,True
643,Parydra quadrituberculata.csv,True
644,Anisostena suturalis.csv,True
645,Nososticta solitaria.csv,True
646,Psilonyx annulatus.csv,True
647,Necyria bellona.csv,True
648,Colladonus brunneus.csv,True
649,Euhagena nebraskae.csv,True
650,Thestius pholeus.csv,True
651,Lepisiota frauenfeldi.csv,True
652,Eucyclodes decorata.csv,True
653,Dictyssa clathrata.csv,True
654,Chrostosoma destricta.csv,True
655,Elesma subglauca.csv,True
656,Helioscopa varians.csv,True
657,Comadia bertholdi.csv,True
658,Epicauta caviceps.csv,True
659,Discocephalessa notulata.csv,True
660,Hemihyalea cornea.csv,True
661,Urodera dilaticollis.csv,True
662,Aradellus nigerrimus.csv,True
663,Catoria sublavaria.csv,True
664,Orectognathus antennatus.csv,True
665,Troides minos.csv,True
666,Anaspis flava.csv,True
667,Onitis aygulus.csv,True
668,Paracercion melanotum.csv,True
669,Automeris beckeri.csv,True
670,Granulorsidis flavidosignatus.csv,True
671,Ceropales variegata.csv,True
672,Tetramorium hispidum.csv,True
673,Pyrausta laticlavia.csv,True
674,Celidomphax quadrimacula.csv,True
675,Pareumelea hortensiata.csv,True
676,Geron olivieri.csv,True
677,Adelowalkeria kitchingi.csv,True
678,Prosopocoilus inclinatus.csv,True
679,Erythrogonia sexguttata.csv,True
680,Arumecla galliena.csv,True
681,Suphisellus gibbulus.csv,True
682,Dinophalus serpentaria.csv,True
683,Aegomorphus longispinis.csv,True
684,Icaricia shasta.csv,True
685,Cupidopsis jobates.csv,True
686,Varneria postremella.csv,True
687,Leptostales ferruminaria.csv,True
688,Haliplus pantherinus.csv,True
689,Hypena gaudialis.csv,True
690,Oncocephalus brachymerus.csv,True
691,Protosticta nigra.csv,True
692,Plagithmysus bilineatus.csv,True
693,Passalidius fortipes.csv,True
694,Orothrips kelloggi.csv,True
695,Anycles anthracina.csv,True
696,Phryganophilus auritus.csv,True
697,Chauliognathus hickeri.csv,True
698,Apalus necydaleus.csv,True
699,Neolucanus nitidus.csv,True
700,Tanna japonensis.csv,True
701,Argyrotaenia ljungiana.csv,True
702,Uranotaenia sapphirina.csv,True
703,Euaresta bella.csv,True
