photo_count,taxon_name,ancestry,rank,rank_level,state_of_matter,kingdom,phylum,subphylum,class,subclass,order,superfamily,family,subfamily,tribe,genus,subgenus,species,subspecies
3965,Aricia agestis,48460/1/47120/372739/47158/184884/47157/47224/47923/58558/125833/522678/86630,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Lycaenidae,Polyommatinae,Polyommatini,Aricia,No subgenus,Aricia agestis,
3963,Hermeuptychia sosybius,48460/1/47120/372739/47158/184884/47157/47224/47922/58597/58598/58605/60753,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Nymphalidae,Satyrinae,Satyrini,Hermeuptychia,No subgenus,Hermeuptychia sosybius,
3954,Diplacodes bipunctata,48460/1/47120/372739/47158/184884/47792/47927/1317176/47819/87959,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Libelluloidea,Libellulidae,No subfamily,No tribe,Diplacodes,No subgenus,Diplacodes bipunctata,
3948,Anartia fatima,48460/1/47120/372739/47158/184884/47157/47224/47922/202067/202068/49764,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Nymphalidae,Nymphalinae,Victorinini,Anartia,No subgenus,Anartia fatima,
3944,Aquarius remigis,48460/1/47120/372739/47158/184884/47744/61267/372861/59654/59653/366568/936827/59652/1144391,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Hemiptera,Gerroidea,Gerridae,Gerrinae,Gerrini,Aquarius,No subgenus,Aquarius remigis,
3942,Sphaerophoria scripta,48460/1/47120/372739/47158/184884/47822/48091/372853/414448/49995/186841/121991/52965,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,No superfamily,Syrphidae,Syrphinae,Syrphini,Sphaerophoria,No subgenus,Sphaerophoria scripta,
3938,Epirrhoe alternata,48460/1/47120/372739/47158/184884/47157/49531/49530/123032/123052/127621,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Geometroidea,Geometridae,Larentiinae,Xanthorhoini,Epirrhoe,No subgenus,Epirrhoe alternata,
3933,Callophrys gryneus,48460/1/47120/372739/47158/184884/47157/47224/47923/125830/125836/522886/58554,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Lycaenidae,Theclinae,Eumaeini,Callophrys,No subgenus,Callophrys gryneus,
3928,Libellula needhami,48460/1/47120/372739/47158/184884/47792/47927/1317176/47819/47818,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Libelluloidea,Libellulidae,No subfamily,No tribe,Libellula,No subgenus,Libellula needhami,
3918,Papilio demoleus,48460/1/47120/372739/47158/184884/47157/47224/47223/49973/207785/47225/884946,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Papilionidae,Papilioninae,Papilionini,Papilio,Princeps,Papilio demoleus,
3912,Crambus agitatellus,48460/1/47120/372739/47158/184884/47157/49682/52002/122538/122946/82269,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Pyraloidea,Crambidae,Crambinae,Crambini,Crambus,No subgenus,Crambus agitatellus,
3908,Megalopyge opercularis,48460/1/47120/372739/47158/184884/47157/52029/84186/1043738/84187,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Zygaenoidea,Megalopygidae,Megalopyginae,No tribe,Megalopyge,No subgenus,Megalopyge opercularis,
3885,Phyciodes mylitta,48460/1/47120/372739/47158/184884/47157/47224/47922/202067/130316/52924,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Nymphalidae,Nymphalinae,Melitaeini,Phyciodes,No subgenus,Phyciodes mylitta,
3883,Sympetrum danae,48460/1/47120/372739/47158/184884/47792/47927/1317176/47819/51556,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Libelluloidea,Libellulidae,No subfamily,No tribe,Sympetrum,No subgenus,Sympetrum danae,
3881,Trimerotropis pallidipennis,48460/1/47120/372739/47158/184884/47651/67688/700600/47650/47649/129164/523486/51494,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Orthoptera,Acridoidea,Acrididae,Oedipodinae,Trimerotropini,Trimerotropis,No subgenus,Trimerotropis pallidipennis,
3870,Ischnura hastata,48460/1/47120/372739/47158/184884/47792/47928/426081/47925/52054,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Coenagrionoidea,Coenagrionidae,No subfamily,No tribe,Ischnura,No subgenus,Ischnura hastata,
3867,Triodia sylvina,48460/1/47120/372739/47158/184884/47157/53784/53783/461810,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Hepialoidea,Hepialidae,No subfamily,No tribe,Triodia,No subgenus,Triodia sylvina,
3860,Libellula depressa,48460/1/47120/372739/47158/184884/47792/47927/1317176/47819/47818,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Libelluloidea,Libellulidae,No subfamily,No tribe,Libellula,No subgenus,Libellula depressa,
3835,Burnsius oileus,48460/1/47120/372739/47158/184884/47157/47224/47653/51312/320554/1038402,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Hesperiidae,Pyrginae,Pyrgini,Burnsius,No subgenus,Burnsius oileus,
3835,Acanalonia conica,48460/1/47120/372739/47158/184884/47744/125816/372860/52073/84807/84808,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Hemiptera,Fulgoroidea,Acanaloniidae,No subfamily,No tribe,Acanalonia,No subgenus,Acanalonia conica,
